"","Date","Beach","Attendance","Month","Year"
"406","07/16/2017","South beach",3200,"July","2017"
"407","07/16/2017","Wolfe's Pond",190,"July","2017"
"408","07/16/2017","Cedar Grove",100,"July","2017"
"409","07/17/2017","Orchard",4150,"July","2017"
"410","07/17/2017","Coney Island",20000,"July","2017"
"411","07/17/2017","Manhattan",2400,"July","2017"
"412","07/17/2017","Rockaway",68500,"July","2017"
"413","07/17/2017","Midland",2200,"July","2017"
"414","07/17/2017","South beach",3100,"July","2017"
"415","07/17/2017","Wolfe's Pond",60,"July","2017"
"416","07/17/2017","Cedar Grove",155,"July","2017"
"417","07/18/2017","Orchard",8500,"July","2017"
"418","07/18/2017","Coney Island",12500,"July","2017"
"419","07/18/2017","Manhattan",2000,"July","2017"
"420","07/18/2017","Rockaway",47500,"July","2017"
"421","07/18/2017","Midland",1600,"July","2017"
"422","07/18/2017","South beach",1900,"July","2017"
"423","07/18/2017","Wolfe's Pond",1850,"July","2017"
"424","07/18/2017","Cedar Grove",160,"July","2017"
"425","07/19/2017","Orchard",9550,"July","2017"
"426","07/19/2017","Coney Island",15000,"July","2017"
"427","07/19/2017","Manhattan",4400,"July","2017"
"428","07/19/2017","Rockaway",27500,"July","2017"
"429","07/19/2017","Midland",1800,"July","2017"
"430","07/19/2017","South beach",1900,"July","2017"
"431","07/19/2017","Wolfe's Pond",245,"July","2017"
"432","07/19/2017","Cedar Grove",230,"July","2017"
"433","07/20/2017","Orchard",46200,"July","2017"
"434","07/20/2017","Coney Island",100000,"July","2017"
"435","07/20/2017","Manhattan",4000,"July","2017"
"436","07/20/2017","Rockaway",98500,"July","2017"
"437","07/20/2017","Midland",7050,"July","2017"
"438","07/20/2017","South beach",8000,"July","2017"
"439","07/20/2017","Wolfe's Pond",125,"July","2017"
"440","07/20/2017","Cedar Grove",160,"July","2017"
"441","07/21/2017","Orchard",77500,"July","2017"
"442","07/21/2017","Coney Island",235000,"July","2017"
"443","07/21/2017","Manhattan",7000,"July","2017"
"444","07/21/2017","Rockaway",136000,"July","2017"
"445","07/21/2017","Midland",70500,"July","2017"
"446","07/21/2017","South beach",33000,"July","2017"
"447","07/21/2017","Wolfe's Pond",200,"July","2017"
"448","07/21/2017","Cedar Grove",400,"July","2017"
"449","07/22/2017","Orchard",88500,"July","2017"
"450","07/22/2017","Coney Island",155000,"July","2017"
"451","07/22/2017","Manhattan",3800,"July","2017"
"452","07/22/2017","Rockaway",90000,"July","2017"
"453","07/22/2017","Midland",17000,"July","2017"
"454","07/22/2017","South beach",20500,"July","2017"
"455","07/22/2017","Wolfe's Pond",820,"July","2017"
"456","07/22/2017","Cedar Grove",140,"July","2017"
"457","07/23/2017","Orchard",225,"July","2017"
"458","07/23/2017","Coney Island",6050,"July","2017"
"459","07/23/2017","Manhattan",145,"July","2017"
"460","07/23/2017","Rockaway",2500,"July","2017"
"461","07/23/2017","Midland",275,"July","2017"
"462","07/23/2017","South beach",500,"July","2017"
"463","07/23/2017","Wolfe's Pond",25,"July","2017"
"464","07/23/2017","Cedar Grove",15,"July","2017"
"465","07/24/2017","Orchard",305,"July","2017"
"466","07/24/2017","Coney Island",2200,"July","2017"
"467","07/24/2017","Manhattan",450,"July","2017"
"468","07/24/2017","Rockaway",2500,"July","2017"
"469","07/24/2017","Midland",275,"July","2017"
"470","07/24/2017","South beach",410,"July","2017"
"471","07/24/2017","Wolfe's Pond",20,"July","2017"
"472","07/24/2017","Cedar Grove",15,"July","2017"
"473","07/25/2017","Orchard",2500,"July","2017"
"474","07/25/2017","Coney Island",18000,"July","2017"
"475","07/25/2017","Manhattan",1150,"July","2017"
"476","07/25/2017","Rockaway",71000,"July","2017"
"477","07/25/2017","Midland",600,"July","2017"
"478","07/25/2017","South beach",825,"July","2017"
"479","07/25/2017","Wolfe's Pond",190,"July","2017"
"480","07/25/2017","Cedar Grove",175,"July","2017"
"481","07/26/2017","Orchard",700,"July","2017"
"482","07/26/2017","Coney Island",3200,"July","2017"
"483","07/26/2017","Manhattan",1320,"July","2017"
"484","07/26/2017","Rockaway",22000,"July","2017"
